id_hotel,latitud,longitud
hotel_01,40.342063767600415,-3.6026260975474305
hotel_02,40.62761785417074,-3.8695989926935757
hotel_03,40.46033712916203,-3.7666698060596153
hotel_04,40.52269948339781,-3.794024403044712
hotel_05,40.524141532604624,-3.575987464252869
hotel_06,40.524519282866706,-3.771462101935671
hotel_07,40.54068073132847,-3.6991157040565112
hotel_08,40.32910291231235,-3.782337953312326
hotel_09,40.54532228930977,-3.627169968671191
hotel_10,40.61538864329657,-3.7088583962013604
hotel_11,40.583445710355704,-3.768776979475011
hotel_12,40.516342161127675,-3.683140312012725
hotel_13,40.35667127498747,-3.658550727540397
hotel_14,40.422615427830415,-3.8382728573307867
hotel_15,40.41205503501322,-3.839085711801032
hotel_16,40.543048168278766,-3.7387827268259315
hotel_17,40.56453616692375,-3.6947968874478243
hotel_18,40.42551804605822,-3.8169502985270025
hotel_19,40.58228657631152,-3.7857927514304133
hotel_20,40.54729666442081,-3.593195456564347
hotel_21,40.48667137073878,-3.700118052006396
hotel_22,40.59894192447483,-3.787989057124032
hotel_23,40.41513555181748,-3.693611602037011
hotel_24,40.58561002503684,-3.7731455123191315
hotel_25,40.550583251391494,-3.650001622758143
hotel_26,40.475162344559116,-3.837232276717498
hotel_27,40.638812270910094,-3.519271743669089
hotel_28,40.55609636430707,-3.574727330034576
hotel_29,40.5076273326139,-3.846665256127369
hotel_30,40.61159847600518,-3.5784819494724474
